category,respondent-role,respondent-id
information to be provided/detailed information,Engineering Manager,s2_r19
information to be provided/detailed information,Engineering Manager,s4_r10
information to be provided/detailed information,Project Manager,s1_r14
information to be provided/detailed information,Project Manager,s2_r9
information to be provided/detailed information,Software Architect/Designer,s1_r15
information to be provided/detailed information,Software Architect/Designer,s1_r17
information to be provided/detailed information,Software Architect/Designer,s1_r19
information to be provided/detailed information,Software Architect/Designer,s2_r12
information to be provided/detailed information,Software Architect/Designer,s2_r15
information to be provided/detailed information,Software Architect/Designer,s5_r14
information to be provided/detailed information,Software Developer,s1_r21
information to be provided/detailed information,Software Developer,s1_r23
information to be provided/detailed information,Software Developer,s1_r25
information to be provided/detailed information,Software Developer,s1_r4
information to be provided/detailed information,Software Developer,s2_r13
information to be provided/detailed information,Software Developer,s2_r16
information to be provided/detailed information,Software Developer,s2_r2
information to be provided/detailed information,Software Developer,s2_r21
information to be provided/detailed information,Software Developer,s2_r6
information to be provided/detailed information,Software Developer,s2_r8
information to be provided/detailed information,Software Developer,s5_r13
information to be provided/detailed information,Software Developer,s5_r2
information to be provided/detailed information,Software Developer,s5_r21
information to be provided/detailed information,Student,s2_r4
information to be provided/detailed information,System Architect,s2_r14
information to be provided/detailed information,System Architect,s4_r7
information to be provided/grouped information,Engineering Manager,s4_r10
information to be provided/grouped information,Project Manager,s2_r9
information to be provided/grouped information,Project Manager,s3_r10
information to be provided/grouped information,Project Manager,s4_r5
information to be provided/grouped information,Researcher,s4_r12
information to be provided/grouped information,Software Architect/Designer,s2_r12
information to be provided/grouped information,Software Architect/Designer,s2_r15
information to be provided/grouped information,Software Architect/Designer,s4_r6
information to be provided/grouped information,Software Architect/Designer,s5_r15
information to be provided/grouped information,Software Developer,s2_r11
information to be provided/grouped information,Software Developer,s2_r3
information to be provided/grouped information,Software Developer,s4_r13
information to be provided/grouped information,System Architect,s2_r14
information to be provided/grouped information,System Architect,s5_r16
tool usage/customization,Engineering Manager,s1_r22
tool usage/customization,Engineering Manager,s5_r20
tool usage/customization,Project Manager,s5_r12
tool usage/customization,Software Developer,s1_r2
tool usage/customization,Software Developer,s1_r21
tool usage/customization,Software Developer,s1_r4
tool usage/customization,Software Developer,s2_r20
tool usage/customization,Student,s2_r4
tool usage/tool execution/manual execution,Software Developer,s3_r14
tool usage/tool execution/manual execution,Software Developer,s3_r19
tool usage/tool execution/manual execution,Software Developer,s3_r3
tool usage/tool execution/manual execution,Software Developer,s3_r8
tool usage/tool execution/manual execution,Software Developer,s3_r9
tool usage/tool execution/threshold execution,Engineering Manager,s1_r22
tool usage/tool execution/threshold execution,Engineering Manager,s4_r10
tool usage/tool execution/threshold execution,Software Architect/Designer,s1_r15
tool usage/tool execution/threshold execution,Software Architect/Designer,s1_r5
tool usage/tool execution/threshold execution,Software Developer,s1_r11
tool usage/tool execution/threshold execution,Software Developer,s1_r13
tool usage/tool execution/threshold execution,Software Developer,s1_r18
tool usage/tool execution/threshold execution,Software Developer,s1_r2
tool usage/tool execution/threshold execution,Software Developer,s1_r21
tool usage/tool execution/threshold execution,Software Developer,s1_r4
tool usage/tool execution/threshold execution,Software Developer,s1_r8
tool usage/tool execution/threshold execution,Software Developer,s4_r11
tool usage/tool execution/threshold execution,Software Developer,s4_r2
tool usage/tool execution/workflow execution,Engineering Manager,s3_r18
tool usage/tool execution/workflow execution,Project Manager,s4_r5
tool usage/tool execution/workflow execution,Project Manager,s5_r12
tool usage/tool execution/workflow execution,Software Architect/Designer,s3_r13
tool usage/tool execution/workflow execution,Software Architect/Designer,s4_r6
tool usage/tool execution/workflow execution,Software Architect/Designer,s5_r15
tool usage/tool execution/workflow execution,Software Developer,s3_r11
tool usage/tool execution/workflow execution,Software Developer,s3_r20
tool usage/tool execution/workflow execution,Software Developer,s5_r13
tool usage/tool execution/workflow execution,Software Developer,s5_r18
tool usage/tool execution/workflow execution,Software Developer,s5_r3
tool usage/tool interface,Engineering Manager,s2_r19
tool usage/tool interface,Engineering Manager,s3_r18
tool usage/tool interface,Engineering Manager,s4_r10
tool usage/tool interface,Project Manager,s1_r14
tool usage/tool interface,Project Manager,s4_r5
tool usage/tool interface,Researcher,s4_r12
tool usage/tool interface,Software Architect/Designer,s1_r17
tool usage/tool interface,Software Architect/Designer,s2_r12
tool usage/tool interface,Software Architect/Designer,s2_r15
tool usage/tool interface,Software Architect/Designer,s4_r6
tool usage/tool interface,Software Developer,s2_r11
tool usage/tool interface,Software Developer,s2_r16
tool usage/tool interface,Software Developer,s2_r17
tool usage/tool interface,Software Developer,s2_r20
tool usage/tool interface,Software Developer,s4_r1
tool usage/tool interface,Software Developer,s4_r2
tool usage/tool interface,Software Developer,s4_r3
tool usage/tool interface,Software Developer,s4_r4
tool usage/tool interface,Student,s2_r4
