category,respondent-experience,respondent-id
information to be provided/detailed information,1 - 5 years,s1_r15
information to be provided/detailed information,1 - 5 years,s1_r17
information to be provided/detailed information,1 - 5 years,s1_r21
information to be provided/detailed information,1 - 5 years,s1_r23
information to be provided/detailed information,1 - 5 years,s1_r4
information to be provided/detailed information,1 - 5 years,s2_r15
information to be provided/detailed information,1 - 5 years,s2_r16
information to be provided/detailed information,1 - 5 years,s2_r4
information to be provided/detailed information,1 - 5 years,s2_r8
information to be provided/detailed information,1 - 5 years,s5_r21
information to be provided/detailed information,6 - 10 years,s1_r25
information to be provided/detailed information,6 - 10 years,s2_r13
information to be provided/detailed information,6 - 10 years,s2_r21
information to be provided/detailed information,6 - 10 years,s5_r14
information to be provided/detailed information,more than 10 years,s1_r14
information to be provided/detailed information,more than 10 years,s1_r19
information to be provided/detailed information,more than 10 years,s2_r12
information to be provided/detailed information,more than 10 years,s2_r14
information to be provided/detailed information,more than 10 years,s2_r19
information to be provided/detailed information,more than 10 years,s2_r2
information to be provided/detailed information,more than 10 years,s2_r6
information to be provided/detailed information,more than 10 years,s2_r9
information to be provided/detailed information,more than 10 years,s4_r10
information to be provided/detailed information,more than 10 years,s4_r7
information to be provided/detailed information,more than 10 years,s5_r13
information to be provided/detailed information,more than 10 years,s5_r2
information to be provided/grouped information,1 - 5 years,s2_r15
information to be provided/grouped information,1 - 5 years,s4_r12
information to be provided/grouped information,6 - 10 years,s2_r11
information to be provided/grouped information,6 - 10 years,s4_r13
information to be provided/grouped information,more than 10 years,s2_r12
information to be provided/grouped information,more than 10 years,s2_r14
information to be provided/grouped information,more than 10 years,s2_r3
information to be provided/grouped information,more than 10 years,s2_r9
information to be provided/grouped information,more than 10 years,s3_r10
information to be provided/grouped information,more than 10 years,s4_r10
information to be provided/grouped information,more than 10 years,s4_r5
information to be provided/grouped information,more than 10 years,s4_r6
information to be provided/grouped information,more than 10 years,s5_r15
information to be provided/grouped information,more than 10 years,s5_r16
tool usage/customization,1 - 5 years,s1_r21
tool usage/customization,1 - 5 years,s1_r4
tool usage/customization,1 - 5 years,s2_r20
tool usage/customization,1 - 5 years,s2_r4
tool usage/customization,more than 10 years,s1_r2
tool usage/customization,more than 10 years,s1_r22
tool usage/customization,more than 10 years,s5_r12
tool usage/customization,more than 10 years,s5_r20
tool usage/tool execution/manual execution,1 - 5 years,s3_r14
tool usage/tool execution/manual execution,1 - 5 years,s3_r9
tool usage/tool execution/manual execution,more than 10 years,s3_r19
tool usage/tool execution/manual execution,more than 10 years,s3_r3
tool usage/tool execution/manual execution,more than 10 years,s3_r8
tool usage/tool execution/threshold execution,1 - 5 years,s1_r13
tool usage/tool execution/threshold execution,1 - 5 years,s1_r15
tool usage/tool execution/threshold execution,1 - 5 years,s1_r21
tool usage/tool execution/threshold execution,1 - 5 years,s1_r4
tool usage/tool execution/threshold execution,1 - 5 years,s4_r11
tool usage/tool execution/threshold execution,more than 10 years,s1_r11
tool usage/tool execution/threshold execution,more than 10 years,s1_r18
tool usage/tool execution/threshold execution,more than 10 years,s1_r2
tool usage/tool execution/threshold execution,more than 10 years,s1_r22
tool usage/tool execution/threshold execution,more than 10 years,s1_r5
tool usage/tool execution/threshold execution,more than 10 years,s1_r8
tool usage/tool execution/threshold execution,more than 10 years,s4_r10
tool usage/tool execution/threshold execution,more than 10 years,s4_r2
tool usage/tool execution/workflow execution,1 - 5 years,s3_r20
tool usage/tool execution/workflow execution,1 - 5 years,s5_r18
tool usage/tool execution/workflow execution,1 - 5 years,s5_r3
tool usage/tool execution/workflow execution,6 - 10 years,s3_r11
tool usage/tool execution/workflow execution,more than 10 years,s3_r13
tool usage/tool execution/workflow execution,more than 10 years,s3_r18
tool usage/tool execution/workflow execution,more than 10 years,s4_r5
tool usage/tool execution/workflow execution,more than 10 years,s4_r6
tool usage/tool execution/workflow execution,more than 10 years,s5_r12
tool usage/tool execution/workflow execution,more than 10 years,s5_r13
tool usage/tool execution/workflow execution,more than 10 years,s5_r15
tool usage/tool interface,1 - 5 years,s1_r17
tool usage/tool interface,1 - 5 years,s2_r15
tool usage/tool interface,1 - 5 years,s2_r16
tool usage/tool interface,1 - 5 years,s2_r17
tool usage/tool interface,1 - 5 years,s2_r20
tool usage/tool interface,1 - 5 years,s2_r4
tool usage/tool interface,1 - 5 years,s4_r12
tool usage/tool interface,1 - 5 years,s4_r4
tool usage/tool interface,6 - 10 years,s2_r11
tool usage/tool interface,more than 10 years,s1_r14
tool usage/tool interface,more than 10 years,s2_r12
tool usage/tool interface,more than 10 years,s2_r19
tool usage/tool interface,more than 10 years,s3_r18
tool usage/tool interface,more than 10 years,s4_r1
tool usage/tool interface,more than 10 years,s4_r10
tool usage/tool interface,more than 10 years,s4_r2
tool usage/tool interface,more than 10 years,s4_r3
tool usage/tool interface,more than 10 years,s4_r5
tool usage/tool interface,more than 10 years,s4_r6
